Transcription-Units	Regulation - regulator proteins of transcription unit	Sequence - coordinates of DNA region	Genes of transcription unit	Direction
TU0-13144		[roxA 1,187,119 &larr; 1,188,240]	EG11430	-
TU0-8569		[ybiP 851,014 &larr; 852,597]	G6418	-
TU0-13621	PD00353	[zipA 2,530,247 &larr; 2,531,233]	G7258	-
TU00086	PHOSPHO-PHOB	[phoE 259,045 &larr; 260,158]	EG10729	-
TU0-13552	G7072-MONOMER	[yejABEF 2,272,364 &rarr; 2,277,889]	EG12041 // EG12040 // EG12038 // EG12037	+
TU0-14021		[mnmE 3,886,828 &rarr; 3,888,192]	EG10997	+
TU00473	CPLX-123	[glnB 2,687,070 &larr; 2,687,441]	EG10384	-
TU0-14488		[rapA 60,358 &larr; 63,588]	EG11083	-
TU0-41681	PHOSPHO-PHOB	[phoQ 1,188,316 &larr; 1,189,940]	EG10732	-
TU0-55017		[ychJ-purU 1,287,782 &larr; 1,289,177]	EG11819 // EG12119	-
TU0-13127		[solA-yceO 1,119,307 &larr; 1,120,609]	G6556 // G6555	-
TU0-8553		[ybaZ 475,982 &larr; 476,371]	G6251	-
TU0-13604		[yfdPQ 2,473,604 &rarr; 2,474,856]	G7229 // G7228	+
TU00070	MONOMER0-160 // PC00010	[uvrB 813,462 &rarr; 815,547]	EG11062	+
TU0-13532		[mdtQ 2,227,323 &larr; 2,228,758]	EG12020	-
TU0-14006	PD00353	[yicH 3,830,431 &rarr; 3,832,166]	EG11684	+
TU00455		[corA 4,001,194 &rarr; 4,002,376]	EG11463	+
TU0-14465		[ileS-lspA-fkpB-ispH 22,229 &rarr; 27,279]	EG11081 // EG11080 // EG10548 // EG10492	+
TU0-3841		[rapA-rluA 59,687 &larr; 63,358]	EG12609 // EG11083	-
TU0-5182	PD00353	[pdxB-usg-truA-dedA 2,434,082 &larr; 2,437,884]	EG10216 // EG10454 // EG11059 // G0-9461	-
TU0-13111	G7072-MONOMER	[yccM 1,052,289 &larr; 1,053,362]	G6513	-
TU0-8537		[mlaA 2,464,252 &larr; 2,465,135]	G7216	-
TU0-13587		[yfcF 2,419,841 &larr; 2,420,485]	G7193	-
TU00054	CPLX-123	[hflD-purB 1,190,616 &larr; 1,192,686]	EG11314 // EG11345	-
TU0-13515		[rcnB 2,186,960 &rarr; 2,187,298]	G7139	+
TU0-13991		[yibG 3,768,177 &rarr; 3,768,638]	EG11763	+
TU00438		[rpoD 3,212,688 &rarr; 3,214,962]	EG10896	+
TU0-14431	CPLX0-226	[dcuR 4,349,315 &larr; 4,350,565]	G7826	-
TU0-36425	PHOSPHO-PHOP	[iraM 1,211,680 &larr; 1,212,123]	G6600	-
TU0-4931	EG12243-MONOMER	[lon 458,815 &rarr; 461,242]	EG10542	+
TU0-13094	G7072-MONOMER // CPLX0-8563	[elfA 997,868 &rarr; 998,407]	G6480	+
TU0-8518		[glmZ 3,986,432 &rarr; 3,986,603]	G0-8873	+
TU00038	EG11554-MONOMER // PD00288 // PHOSPHO-CREB // CPLX0-7705 // CPLX0-226 // MONOMER0-158 // EG11721-MONOMER	[malEFGH 4,242,531 &larr; 4,246,464]	G0-17082 // EG10556 // EG10555 // EG10554	-
TU0-13498		[wcaKLM 2,114,502 &larr; 2,118,404]	G7096 // G7095 // G7094	-
TU0-13974		[yhjV 3,700,563 &rarr; 3,701,834]	EG12266	+
TU00421		[clpB 2,731,557 &larr; 2,734,205]	EG10157	-
TU0-14407	PC00061	[hypF 2,835,173 &larr; 2,838,105]	EG11551	-
TU0-36399		[glrR-glnB 2,687,070 &larr; 2,688,803]	EG10384 // EG11285	-
TU0-4783	PD00288 // CPLX0-8061 // CPLX0-7797 // G7072-MONOMER	[nrdDG 4,459,900 &larr; 4,462,838]	G812 // EG11417	-
TU0-13077		[aat 926,728 &larr; 927,432]	EG11112	-
TU0-8501	PD00353	[rhtB 4,008,439 &larr; 4,009,059]	EG11469	-
TU00022	CPLX0-7639 // PC00027 // PHOSPHO-ARCA // CPLX0-7797	[fnr 1,398,774 &larr; 1,399,552]	EG10325	-
TU0-13479		[insH6 2,066,305 &larr; 2,067,285]	G7074	-
TU0-13953	G7072-MONOMER	[yhiJ 3,630,968 &larr; 3,632,590]	EG12225	-
TU00404	PC00027 // PD00353 // G7072-MONOMER // EG12386-MONOMER	[yadV-htrE 152,829 &larr; 156,214]	EG11972 // EG11973	-
TU0-14390		[mreB 3,400,005 &larr; 3,401,356]	EG10608	-
TU0-3424	CPLX0-7748	[psd-mscM 4,386,047 &larr; 4,390,638]	G7840 // EG10775	-
TU0-45289	PD00214	[hemF 2,552,952 &rarr; 2,554,124]	EG12189	+
TU0-13060	PHOSPHO-ARCA	[ybiU 857,796 &larr; 859,061]	G6424	-
TU0-8485	PD00214	[oxyS 4,158,278 &larr; 4,158,394]	EG31116	-
TU00006	CPLX0-228	[argI 4,477,307 &larr; 4,478,344]	EG10069	-
TU0-13460	PD00353	[dgcQ 2,026,323 &larr; 2,028,017]	G7049	-
TU0-13935	CPLX0-7669	[asd 3,573,775 &larr; 3,574,878]	EG10088	-
TU00388	PHOSPHO-RCSB // G7072-MONOMER	[osmB 1,343,110 &larr; 1,343,476]	EG10679	-
TU0-14369		[yebA 1,940,313 &larr; 1,941,635]	EG10013	-
TU0-3161	PD00288 // G7072-MONOMER // CPLX0-7797 // PHOSPHO-ARCA	[cydAB 771,116 &rarr; 774,181]	EG10174 // EG10173	+
TU0-45272		[ybeD-lipB 661,637 &larr; 662,706]	EG11591 // EG11592	-
TU0-13043	G7072-MONOMER	[ybhI 801,887 &rarr; 803,320]	G6400	+
TU0-45216	CPLX0-7797 // PC00027 // PHOSPHO-PHOB // G7072-MONOMER	[pstSCAB-phoU 3,906,853 &larr; 3,911,568]	EG10735 // EG10783 // EG10782 // EG10784 // EG10734	-
TU0-8458	RPON-MONOMER	[rsxABCDGE-nth 1,705,755 &rarr; 1,712,158]	EG10662 // G6876 // G6875 // G6874 // G6873 // G6872 // G6871	+
TU0-8874	PD01379 // PD00353	[pepD 254,259 &larr; 255,737]	EG10695	-
TU0-13441		[lpxM 1,939,222 &larr; 1,940,193]	EG10614	-
TU0-13918		[kefGB-yheV 3,478,592 &larr; 3,481,161]	G7717 // EG20110 // G0-10466	-
TU00371	G7072-MONOMER	[uhpABC 3,847,305 &larr; 3,850,726]	EG11053 // EG11052 // EG11051	-
TU0-14349		[yceH 1,126,157 &rarr; 1,126,804]	EG11537	+
TU0-2701	G6737-MONOMER // PD00214	[isrC-flu 2,071,317 &rarr; 2,074,658]	G0-8905 // G7080	+
TU0-45256	CPLX0-226 // PD03028 // CPLX0-3930 // PD00261 // EG12386-MONOMER // G7072-MONOMER	[mglBAC 2,236,743 &larr; 2,240,566]	EG10594 // EG10592 // EG10593	-
TU0-13027	G7072-MONOMER	[ybfOC 734,220 &rarr; 736,219]	EG11523 // G6376	+
TU0-45201	PHOSPHO-RSTA // EG11356-MONOMER	[csgDEFG 1,100,851 &larr; 1,103,335]	G6543 // G6544 // G6545 // G6546	-
TU0-8356		[ybbN 517,425 &larr; 518,490]	G6268	-
TU0-8845		[ldrC 1,270,238 &larr; 1,270,345]	G0-9607	-
TU0-13425		[proQ-prc 1,912,768 &larr; 1,915,534]	EG12866 // EG10760	-
TU0-13900		[yhcO 3,385,857 &larr; 3,386,129]	G7684	-
TU00355		[selAB 3,758,017 &larr; 3,761,297]	EG10942 // EG10941	-
TU0-14327	G7326-MONOMER // G7072-MONOMER	[rnlAB 2,765,894 &rarr; 2,767,355]	G7366 // G7365	+
TU0-2442	PHOSPHO-PHOP	[treR 4,466,284 &larr; 4,467,279]	EG12202	-
TU0-45241	CPLX0-226 // CPLX0-7705 // PC00027 // PD04418	[acs-yjcHG 4,283,253 &larr; 4,287,391]	EG11942 // EG11943 // EG11448	-
TU0-13009	EG12386-MONOMER	[rsfS-rlmH-mrdAB-rlpA 664,102 &larr; 669,072]	EG11255 // EG11254 // EG10606 // EG10607 // EG10854	-
TU0-45185	CPLX0-226 // CPLX0-7748	[cyaR 2,167,114 &rarr; 2,167,200]	G0-8878	+
TU0-8338		[ygcG 2,905,711 &rarr; 2,906,583]	G7444	+
TU0-8829		[insA-7 4,518,527 &rarr; 4,518,802]	G7908	+
TU0-1341	CPLX0-7671 // PHOSPHO-PHOB	[argP 3,059,703 &rarr; 3,060,680]	EG10490	+
TU0-13883		[folP-glmM 3,322,733 &larr; 3,324,911]	EG50011 // EG11553	-
TU00336	CPLX0-226 // CPLX0-7705 // CPLX0-7797	[rplM-rpsI 3,377,756 &larr; 3,378,808]	EG10908 // EG10874	-
TU0-14308		[yhfK 3,486,761 &rarr; 3,488,893]	G7721	+
TU0-2001		[rlmL-uup 1,007,672 &rarr; 1,011,871]	G6488 // G6489	+
TU0-12993	CPLX0-2781 // CPLX0-7797 // PHOSPHO-ARCA	[ybdN 635,349 &larr; 636,686]	G6331	-
TU0-45169		[acnA 1,335,424 &rarr; 1,338,506]	G0-16736 // EG11325	+
TU0-8301	PHOSPHO-CREB	[ackA-pta 2,413,470 &rarr; 2,416,891]	EG20173 // EG10027	+
TU0-8813	PD00406 // CPLX0-7639 // PHOSPHO-NARL // CPLX0-226 // PHOSPHO-ARCA // CPLX0-7797	[ompW 1,313,909 &rarr; 1,314,658]	EG11124	+
TU0-13391		[sppA 1,848,837 &rarr; 1,850,738]	EG10968	+
TU0-13867	G7072-MONOMER	[yhaI 3,252,911 &rarr; 3,253,267]	G7618	+
TU00319	PHOSPHO-PHOP	[phoPQ 1,188,316 &larr; 1,190,483]	EG10732 // EG10731	-
TU0-14291		[kdsC-lptCAB 3,342,226 &rarr; 3,344,669]	EG11680 // G7665 // G7664 // G7663	+
TU0-1781		[pth-ychF 1,256,721 &larr; 1,258,542]	EG11404 // EG10785	-
TU0-12974		[ybcLM 570,893 &rarr; 572,251]	G6302 // G6301	+
TU0-45144		[sdsR-pphA 1,922,313 &larr; 1,923,207]	G7011 // G0-8883	-
TU0-8221	PD00214 // CPLX0-7796 // CPLX0-7752 // G7072-MONOMER	[metE 4,012,822 &rarr; 4,015,314]	EG10584	+
TU0-13374	G7072-MONOMER	[ydiFO 1,775,587 &rarr; 1,778,347]	G6918 // EG12432	+
TU0-8799		[fimZ 563,848 &larr; 564,480]	EG11103	-
TU0-13850		[ebgR 3,221,437 &rarr; 3,222,449]	EG10254	+
TU00301	CPLX0-6 // CPLX0-226 // PD00353	[modABC 794,999 &rarr; 797,612]	EG12427 // EG10002 // EG10152	+
TU876		[dam-rpe-gph-trpS 3,512,634 &larr; 3,515,982]	EG11030 // EG11871 // M004 // EG10204	-
TU0-14258	CPLX0-7756 // EG12108-MONOMER	[norR 2,830,775 &larr; 2,832,307]	EG12108	-
TU0-1545		[flgK 1,138,351 &rarr; 1,141,063]	G0-17101 // EG11545 // EG11967	+
TU0-12956		[qmcA-ybbJ 514,401 &larr; 515,823]	G6265 // G6264	-
TU0-44222		[yabR 85,467 &larr; 85,511]	G0-16721	-
TU0-8084	PD00353	[aspS 1,948,662 &larr; 1,950,617]	EG10097	-
TU0-13358		[ydhL 1,725,681 &larr; 1,725,920]	G6888	-
TU0-8778		[crcB 657,555 &larr; 657,938]	EG12209	-
TU0-13832	G7571-MONOMER	[mqsRA 3,167,851 &larr; 3,168,653]	G7572 // G7571	-
TU00282	EG11356-MONOMER // PHOSPHO-RCSB // PHOSPHO-PHOP // EG11544-MONOMER // EG12242-MONOMER // MONOMER0-155 // PD00288 // PD00365 // EG12243-MONOMER // PHOSPHO-TORR	[hdeAB-yhiD 3,655,255 &larr; 3,656,791]	EG11400 // EG11399 // EG11398	-
TU0-14239		[setB 2,263,863 &rarr; 2,265,044]	EG12034	+
TU841	CPLX0-7756 // CPLX0-7740 // CPLX0-226	[cdd 2,231,724 &rarr; 2,232,728]	EG10137	+
TU0-14806		[hemL 173,602 &larr; 174,941]	EG10432	-
TU0-12937		[mdlAB 468,871 &rarr; 472,417]	EG11622 // G6248	+
TU0-44206		[paaJ 1,460,771 &rarr; 1,462,098]	G6718	+
TU0-12934		[ybaE 465,612 &larr; 467,312]	EG13217	-
TU0-44203		[mngB 767,825 &rarr; 770,611]	EG13236	+
TU0-7805	PHOSPHO-PHOP	[nagA 701,603 &larr; 703,175]	EG10632	-
TU0-13337		[clcB 1,665,315 &rarr; 1,666,571]	G6850	+
TU0-8755	G7619-MONOMER	[ygiD 3,181,619 &larr; 3,182,434]	EG11166	-
TU0-13813	G7072-MONOMER	[yghG 3,113,067 &larr; 3,113,477]	G7538	-
TU00262	CPLX0-7797 // PC00027 // PD00353 // G7072-MONOMER // PHOSPHO-ARCA	[dppABCDF 3,701,864 &larr; 3,707,870]	EG12628 // EG12627 // EG12626 // EG12625 // EG10248	-
TU0-14218		[ytjA 4,612,128 &rarr; 4,612,289]	G0-10475	+
TU743	EG11431-MONOMER // G7072-MONOMER	[rpmH-rnpA 3,884,065 &rarr; 3,884,852]	EG10862 // EG10892	+
TU0-14775		[glmY 2,691,157 &larr; 2,691,340]	G0-8910	-
TU0-12914		[yaiI 405,764 &rarr; 406,222]	G6230	+
TU0-4288	CPLX0-7605 // PD01520	[iclR 4,222,804 &larr; 4,223,652]	EG10491	-
TU0-7622	MONOMER0-2221	[allDC-ylbA 543,261 &larr; 546,411]	G6284 // G6285 // G6286	-
TU0-13321	G7072-MONOMER	[essQ-ydfR-rrrQ-rzpQ 1,639,030 &larr; 1,640,585]	G6829 // G6828 // G6827 // G6826	-
TU0-8738	CPLX0-7797 // G7072-MONOMER	[yfgF 2,626,695 &larr; 2,629,031]	G7314	-
TU0-13793		[zapA 3,055,612 &rarr; 3,055,941]	EG12878	+
TU00246	PD00353	[btuCED 1,792,809 &larr; 1,795,152]	EG10128 // EG10129 // EG10127	-
TU0-14201		[yjiK 4,562,743 &larr; 4,563,603]	G7930	-
TU65	CPLX0-7639 // CPLX0-7797 // G7072-MONOMER // PROTEIN-NRIP // PD00353	[nac 2,061,016 &larr; 2,061,978]	G7072	-
TU0-14745	PHOSPHO-DPIA // PHOSPHO-ARCA	[mdh 3,383,330 &larr; 3,384,470]	EG10576	-
TU0-12893		[yahH 339,769 &rarr; 340,089]	G0-10550	+
TU0-42682	EG11849-MONOMER // CPLX0-226	[yihW 4,074,641 &rarr; 4,075,454]	EG11849	+
TU0-7321	PD00214 // CPLX0-7639 // CPLX0-7672 // G7072-MONOMER	[mntH 2,511,468 &larr; 2,512,734]	G7254	-
TU0-13303		[glsB-yneG 1,611,966 &larr; 1,613,251]	G6810 // G6809	-
TU0-8722		[yegE 2,143,266 &rarr; 2,146,583]	EG12396	+
TU0-13777		[yqeA 3,011,461 &rarr; 3,012,393]	G7493	+
TU00230		[accA 208,411 &rarr; 209,580]	EG11647	+
TU0-14183	CPLX0-8593	[nanXY 4,504,020 &rarr; 4,506,405]	G7901 // EG12544	+
TU562		[pqiABC 1,011,659 &rarr; 1,015,459]	G6492 // G6491 // G6490	+
TU0-14704	PD00365 // PD04418 // PD00406 // PHOSPHO-OMPR	[tolC-ygiBC 3,178,062 &rarr; 3,181,581]	EG11165 // EG11164 // EG11009	+
TU0-1192		[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,371 &larr; 3,428,940]	EG30091 // EG30103 // EG30073 // EG30080 // EG30009 // EG30044 // EG30087	-
TU0-12877		[ykgJ 303,853 &larr; 304,182]	G6159	-
TU0-42628	EG12008-MONOMER // G7072-MONOMER	[rplU-rpmA-yhbE-obgE 3,330,582 &larr; 3,333,516]	G7656 // EG11499 // EG50002 // EG50001	-
TU0-7061		[yzfA 4,447,976 &larr; 4,448,294]	EG11213	-
TU0-13286		[adhP 1,552,828 &larr; 1,553,838]	G6775	-
TU0-8705	G7072-MONOMER // PD00353	[ydeE 1,621,332 &rarr; 1,622,519]	EG11640	+
TU0-13760	G7072-MONOMER	[yqeIJ 2,988,502 &rarr; 2,989,786]	G7468 // G7467	+
TU00213	CPLX0-7854 // CPLX0-226 // PHOSPHO-ARCA	[treBC 4,463,054 &larr; 4,466,210]	EG11402 // EG12127	-
TU0-14165	G7072-MONOMER	[tamAB-ytfP 4,442,382 &rarr; 4,448,235]	G7876 // G7875 // G7874	+
TU5	CPLX0-8563 // CPLX0-7731 // CPLX0-226 // PC00027	[paaABCDEFGHIJK 1,453,750 &rarr; 1,463,438]	G6719 // G6718 // G6717 // G6716 // G6715 // G6714 // G6713 // G6712 // G6711 // G6710 // G6709	+
TU0-14681		[dksA-yadB 159,186 &larr; 160,657]	EG11362 // EG10230	-
TU0-1122	CPLX0-6 // PC00027	[dmsABC 940,856 &rarr; 944,896]	EG10234 // EG10233 // EG10232	+
TU0-12861		[perR 269,289 &larr; 270,182]	G6129	-
TU0-42594		[gltI-sroC-gltJKL 684,530 &larr; 687,777]	EG12663 // EG12662 // EG12661 // G0-9383 // G6359	-
TU0-6884		[carB 30,775 &rarr; 34,038]	EG10135	+
TU0-13268		[patD 1,515,578 &rarr; 1,517,002]	G6755	+
TU0-8688	CPLX0-7680 // EG12386-MONOMER	[pliG 1,227,071 &larr; 1,227,472]	G6615	-
TU0-13742		[tcdA 2,945,036 &larr; 2,945,842]	G7456	-
TU00197	CPLX-123 // G7072-MONOMER	[codBA 354,826 &rarr; 357,454]	EG11327 // EG11326	+
TU0-14148		[yjeNO 4,385,393 &rarr; 4,386,018]	G7839 // G7838	+
TU423		[cmr 883,649 &rarr; 884,938]	G6440	+
TU0-14662		[kup 3,931,181 &rarr; 3,933,184]	EG11541	+
TU-8439		[bglA 3,043,662 &rarr; 3,045,101]	G495	+
TU0-12842		[gloB 234,027 &larr; 234,782]	G6099	-
TU0-42571	CPLX0-226 // CPLX-172 // G7072-MONOMER	[araE-ygeA 2,979,943 &larr; 2,982,208]	EG11157 // EG10056	-
TU0-6654	PHOSPHO-HYDG	[pnp 3,308,999 &larr; 3,311,326]	EG10743	-
TU0-13251		[hrpA 1,483,061 &rarr; 1,486,963]	G6732	+
TU0-8671	CPLX0-8597	[ybjK 887,423 &rarr; 887,959]	G6444	+
TU0-13725	EG11554-MONOMER // CPLX0-8563 // CPLX0-226 // PD00519 // PD00288 // EG12386-MONOMER	[casABCDE12 2,878,569 &larr; 2,884,319]	G7430 // G7429 // G7428 // G7427 // G7426 // G7425 // EG12845	-
TU00181	PD00288 // CPLX0-7756 // PD00353 // EG11544-MONOMER // G7072-MONOMER // CPLX0-228	[lrp 932,272 &rarr; 933,089]	EG10547	+
TU0-14129		[yjcS 4,304,612 &larr; 4,306,627]	EG11955	-
TU354	CPLX0-7797 // PHOSPHO-ARCA	[arcA 4,639,539 &larr; 4,640,681]	EG10061	-
TU0-14642		[cysK 2,532,344 &rarr; 2,533,424]	EG10192	+
TU-8411	CPLX0-8109 // PD01379 // CPLX0-3930	[fliFGHIJK 2,013,076 &rarr; 2,019,513]	G379 // G378 // G377 // EG11656 // EG11654 // EG11347	+
TU0-12823		[dgt 179,196 &rarr; 180,754]	EG10225	+
TU0-42544	CPLX0-8593 // PD00266 // CPLX0-226	[nanCMS 4,536,614 &larr; 4,539,928]	G7919 // G7920 // G7921	-
TU0-6625		[speB 3,082,877 &larr; 3,083,946]	EG10960	-
TU0-13233		[trkG 1,423,782 &rarr; 1,425,239]	EG11020	+
TU0-8652	G7072-MONOMER	[yqeK 2,989,935 &larr; 2,990,360]	G7469	-
TU0-13708		[kbp 2,796,337 &larr; 2,796,814]	G7395	-
TU00165	CPLX0-7639	[fepDGC 619,384 &larr; 622,234]	EG10295 // EG10298 // EG10296	-
TU0-14113	MONOMER0-165 // CPLX0-226	[xylE 4,240,734 &larr; 4,242,291]	EG11076	-
TU263	G7072-MONOMER	[mobAB 4,040,906 &larr; 4,042,121]	EG11828 // EG11829	-
TU0-14619		[clsC 1,106,292 &rarr; 1,107,776]	G6551	+
TU-8387	MONOMER0-2741 // PHOSPHO-BASR // PD00353	[qseBC 3,169,287 &rarr; 3,171,833]	EG12658 // G7575	+
TU0-12808	PHOSPHO-PHOB	[cra 87,947 &rarr; 89,032]	EG10338	+
TU0-42517	MONOMER0-155 // PC00027 // PD00353 // G7072-MONOMER	[ilvL 3,950,290 &rarr; 3,950,471]	EG11270	+
TU0-6552	CPLX0-7669	[lysC 4,231,884 &larr; 4,233,539]	EG10550	-
TU0-13216	G6664-MONOMER	[ycjY 1,390,933 &larr; 1,392,072]	G6663	-
TU0-8636		[ynaI 1,394,891 &larr; 1,395,973]	G6666	-
TU0-13690	G7072-MONOMER	[yfjI 2,758,985 &rarr; 2,760,394]	G7360	+
TU00149	CPLX0-7756 // CPLX0-7714	[dsdC 2,476,694 &larr; 2,477,746]	EG13161	-
TU0-14090		[yijF 4,137,040 &larr; 4,137,657]	EG11903	-
TU141	PHOSPHO-NARL // PD00288 // CPLX0-226 // CPLX0-7797 // G7072-MONOMER	[caiF 34,162 &rarr; 34,695]	G6088	+
TU0-14573	G7072-MONOMER	[secG-leuU 3,322,035 &larr; 3,322,587]	EG30050 // EG12095	-
TU0-12790		[mog 9,306 &rarr; 9,893]	EG11511	+
TU0-42495		[ibaG-murA 3,335,235 &larr; 3,336,833]	EG11358 // G7657	-
TU0-6501	G6745-MONOMER	[cysE 3,781,741 &larr; 3,782,681]	EG10187	-
TU0-13196		[yciK-btuR 1,327,767 &larr; 1,329,112]	EG11759 // EG10130	-
TU0-8617		[yjgD 4,478,445 &rarr; 4,478,889]	G7885	+
TU0-13671		[tapT-patZ 2,719,223 &rarr; 2,722,613]	G7350 // G7349	+
TU00132	PD00361 // CPLX0-226 // G7072-MONOMER	[malXY 1,699,211 &rarr; 1,702,129]	EG10563 // EG10564	+
TU0-14069	EG11849-MONOMER	[yihV-csqR 4,073,712 &rarr; 4,075,454]	EG11849 // EG11848	+
TU00518	G7072-MONOMER	[leuU 3,322,072 &larr; 3,322,278]	EG30050	-
TU0-14548	G7072-MONOMER	[hfq-hflXKC 4,399,801 &rarr; 4,404,304]	EG10435 // EG10436 // EG10437 // EG10438	+
TU0-42471	PD00353	[metH 4,223,505 &rarr; 4,227,511]	EG10587	+
TU0-6408	G6745-MONOMER // G7072-MONOMER // CPLX0-228	[pfkB 1,806,351 &rarr; 1,807,299]	EG10700	+
TU0-13176		[ymgE 1,244,728 &rarr; 1,244,982]	G6624	+
TU0-8600		[yidX 3,875,438 &rarr; 3,876,094]	EG11719	+
TU0-13652		[yfhM-pbpC 2,645,013 &larr; 2,652,324]	G7323 // G7322	-
TU00116	PC00061 // PD00251 // PHOSPHO-ARCA	[betT 329,391 &rarr; 331,496]	EG10112	+
TU0-14052		[tatABC 4,021,909 &rarr; 4,024,336]	EG11481 // EG11479 // G7808 // G7806	+
TU00502		[ileX 3,215,597 &rarr; 3,215,716]	EG30046	+
TU0-14525		[rfaZ-waaU 3,798,239 &larr; 3,800,226]	EG11423 // EG11426	-
TU0-42452	EG12386-MONOMER // PD00353	[ppk-ppx 2,622,977 &rarr; 2,626,656]	EG11403 // EG11510	+
TU0-6021	CPLX0-7721 // PHOSPHO-NARL // CPLX0-7797 // CPLX0-226 // PHOSPHO-ARCA // PD00353	[aspA-dcuA 4,365,472 &larr; 4,368,432]	EG11225 // EG10095	-
TU0-13158		[bluR 1,213,328 &larr; 1,214,113]	G6602	-
TU0-8584		[yhhM 3,605,251 &larr; 3,605,610]	EG12213	-
TU0-13635		[eutNEJG 2,568,324 &larr; 2,572,050]	G7286 // G7285 // G7284 // G7283	-
TU00099	CPLX0-226 // CPLX-172	[araJ 411,297 &larr; 412,529]	EG10060	-
TU0-13565		[yfaVU 2,358,042 &larr; 2,360,152]	G7159 // G7158	-
TU0-14035		[yifN 3,960,012 &larr; 3,960,460]	G7798	-
TU00486	PD00288 // EG11544-MONOMER // PC00084 // G7072-MONOMER	[rcsA 2,023,664 &rarr; 2,024,591]	EG10820	+
TU0-14503		[aceK 4,218,566 &rarr; 4,220,332]	EG10026	+
TU0-4189		[yggN 3,100,904 &larr; 3,101,798]	EG12705	-
TU0-5661	G7072-MONOMER	[mcrBC 4,576,912 &larr; 4,579,337]	EG10575 // EG10574	-
TU0-13141	PD00353	[lolCDE 1,175,427 &rarr; 1,178,564]	G6575 // G6574 // G6573	+
TU0-8566	PD00353	[ybhQ 824,601 &rarr; 825,040]	G6408	+
TU0-13617		[insL3 2,514,331 &rarr; 2,515,443]	G7255	+
TU00083	CPLX0-7740 // CPLX0-226 // PHOSPHO-HYDG	[rpoH 3,599,887 &larr; 3,600,849]	EG10897	-
TU0-13549		[yeiR-lpxT 2,267,829 &rarr; 2,269,567]	G7146 // EG12104	+
TU0-14019		[yidA 3,876,140 &larr; 3,876,952]	EG11195	-
TU00470	PD00353	[glgCAP 3,564,082 &larr; 3,569,571]	EG10380 // EG10377 // EG10379	-
TU0-14484		[rnlA 2,765,906 &rarr; 2,766,991]	G7365	+
TU0-4161		[bamC 2,597,803 &larr; 2,599,014]	EG10658	-
TU0-5421		[aes 498,945 &larr; 500,051]	EG11101	-
TU0-13124		[yceK 1,113,579 &rarr; 1,113,806]	EG12689	+
TU0-8550		[yaiT 390,251 &rarr; 394,418]	G6222	+
TU0-13601		[yfdGHI 2,467,855 &rarr; 2,470,462]	G7221 // G7220 // G7219	+
TU00067	CPLX-125	[trpLEDCBA 1,316,383 &larr; 1,323,108]	EG11024 // EG11025 // EG11026 // EG11027 // EG11028 // EG11274	-
TU0-13529		[pbpG 2,223,938 &larr; 2,224,870]	EG12015	-
TU0-14003		[yicG 3,818,874 &rarr; 3,819,491]	EG11683	+
TU00452		[endA 3,090,327 &rarr; 3,091,123]	EG11336	+
TU0-14460		[rpoD 3,212,693 &rarr; 3,214,888]	EG10896	+
TU0-3721	CPLX0-7705 // PC00027 // PD04418	[acs-yjcHG 4,283,253 &larr; 4,287,595]	EG11942 // EG11943 // EG11448	-
TU0-5121		[fusA-tufA 3,470,145 &larr; 3,473,685]	EG11036 // EG10360	-
TU0-13108	G7947-MONOMER	[gfcA 1,049,439 &larr; 1,050,702]	G6508	-
TU0-8534		[ushA 504,914 &rarr; 506,566]	EG11060	+
TU0-13584	PD00353 // CPLX0-228	[yfcC 2,417,081 &rarr; 2,418,601]	G7190	+
TU00051	PD00214 // CPLX0-226	[oxyR 4,158,457 &rarr; 4,159,407]	EG10681	+
TU0-13512		[thiMD 2,183,716 &larr; 2,185,451]	M007 // G7135	-
TU0-13988		[yibF 3,761,347 &larr; 3,761,975]	EG11762	-
TU00435	PC00010 // EG11431-MONOMER	[rpsU-dnaG-rpoD 3,210,735 &rarr; 3,214,962]	EG10920 // EG10239 // EG10896	+
TU0-14424	PHOSPHO-PHOP	[ryjB 4,527,977 &rarr; 4,528,066]	G0-10609	+
TU0-36422	CPLX0-226 // PD03270	[uxaB 1,609,229 &larr; 1,610,720]	EG11065	-
TU0-4927	PD03585 // CPLX0-226	[gntT 3,546,333 &rarr; 3,547,875]	EG12380	+
TU0-13090	CPLX0-7748	[ldtD 980,931 &rarr; 982,894]	EG11253	+
TU0-8515		[micA 2,814,802 &rarr; 2,814,874]	G0-8866	+
TU00035	CPLX0-7795 // PHOSPHO-ARCA	[kdpFABC 724,407 &larr; 728,849]	G0-10439 // EG10515 // EG10514 // EG10513	-
TU0-13493	CPLX0-7929 // CPLX0-3781 // G7072-MONOMER	[yefM-yoeB 2,089,211 &larr; 2,089,733]	EG12844 // G0-9121	-
TU0-13971		[pdeK 3,683,630 &larr; 3,685,618]	EG12256	-
TU00418		[dnaKJ 12,144 &rarr; 15,298]	G0-8893 // EG10241 // EG10240	+
TU0-14404	G6745-MONOMER	[dapE-ypfN 2,591,560 &rarr; 2,592,962]	G0-10463 // EG10208	+
